noise_rate,rho,lambda,seed,test_acc,A_naive_mean,A_naive_std,A_naive_final,cos_gval_gref_mean
0.0,0.4,0.0,1,0.7965999841690063,0.4000000259280205,3.373196367657582e-08,0.40000003576278687,0.40000002801418305
0.0,0.4,0.0,2,0.7998999953269958,0.4000000268220901,3.710359215136985e-08,0.40000003576278687,0.4000000286102295
0.0,0.4,0.25,0,0.8000999689102173,0.6247580271959304,4.5122723868584954e-08,0.6247580051422119,0.4000000259280205
0.0,0.4,0.25,1,0.7981999516487122,0.6247580242156983,4.75942248765877e-08,0.6247579455375671,0.40000002205371854
0.0,0.4,0.25,2,0.7989000082015991,0.6247580367326736,4.875572502266186e-08,0.6247581243515015,0.40000002264976503
0.0,0.4,0.5,0,0.8000999689102173,0.8366600370407105,5.037914898184644e-08,0.8366601467132568,0.4000000196695328
0.0,0.4,0.5,1,0.7983999848365784,0.8366600459814072,5.4429844173502267e-08,0.8366601467132568,0.40000002950429914
0.0,0.4,0.5,2,0.798799991607666,0.8366600495576858,5.505288402422444e-08,0.8366600871086121,0.40000002950429914
0.0,0.4,0.75,0,0.7996000051498413,0.9655351293087006,5.789940092363783e-08,0.9655351042747498,0.4000000292062759
0.0,0.4,0.75,1,0.7985000014305115,0.9655351221561432,5.8095421462112447e-08,0.9655351638793945,0.4000000274181366
0.0,0.4,0.75,2,0.7985999584197998,0.9655351275205613,5.6479922204221995e-08,0.9655351042747498,0.40000002562999726
0.0,0.4,1.0,0,0.7996000051498413,1.0000000143051146,5.724528886577115e-08,0.9999999403953552,0.40000002443790433
0.0,0.4,1.0,1,0.7986999750137329,1.0000000184774398,5.9422572523913996e-08,1.0,0.40000001817941666
0.0,0.4,1.0,2,0.7986999750137329,1.0000000262260438,6.03863007636735e-08,1.0000001192092896,0.4000000259280205
0.0,0.7,0.0,0,0.8004999756813049,0.7000000011920929,5.3031388329351495e-08,0.6999998092651367,0.700000005364418
0.0,0.7,0.0,1,0.798799991607666,0.7000000005960465,5.416812925809174e-08,0.6999998688697815,0.7000000071525574
0.0,0.7,0.0,2,0.7986999750137329,0.7000000035762787,5.030858003141687e-08,0.6999999284744263,0.700000006556511
0.0,0.7,0.25,0,0.8003999590873718,0.8226545745134354,5.559231627831814e-08,0.8226545453071594,0.6999999982118607
0.0,0.7,0.25,1,0.7982999682426453,0.8226545763015747,5.091227651611e-08,0.8226546049118042,0.6999999934434891
0.0,0.7,0.25,2,0.798799991607666,0.8226545786857605,5.859473098490005e-08,0.8226546049118042,0.7
0.0,0.7,0.5,0,0.7996000051498413,0.9219544327259064,5.6683985843509394e-08,0.9219545125961304,0.7
0.0,0.7,0.5,1,0.7980999946594238,0.9219544446468353,6.365150963884588e-08,0.9219543933868408,0.7000000077486038
0.0,0.7,0.5,2,0.7982999682426453,0.9219544285535812,5.784722131669067e-08,0.9219543933868408,0.6999999994039535
0.0,0.7,0.75,0,0.7991999983787537,0.9818780469894409,4.271620003502111e-08,0.9818780422210693,0.6999999982118607
0.0,0.7,0.75,1,0.7986999750137329,0.9818780589103698,4.848170139232339e-08,0.9818779826164246,0.700000006556511
0.0,0.7,0.75,2,0.7985999584197998,0.9818780559301377,5.5821905804763774e-08,0.9818780422210693,0.6999999982118607
0.0,0.7,1.0,0,0.7996000051498413,1.0000000143051146,5.724528886577115e-08,0.9999999403953552,0.6999999964237213
0.0,0.7,1.0,1,0.7986999750137329,1.0000000184774398,5.9422572523913996e-08,1.0,0.6999999922513962
0.0,0.7,1.0,2,0.7986999750137329,1.0000000262260438,6.03863007636735e-08,1.0000001192092896,0.7000000035762787
0.0,1.0,0.0,0,0.7996000051498413,1.000000021457672,5.749299789327379e-08,1.0000001192092896,1.000000022649765
0.0,1.0,0.0,1,0.7986999750137329,1.000000010728836,6.710752460974489e-08,1.0,1.0000000190734863
0.0,1.0,0.0,2,0.7986999750137329,1.0000000298023224,5.990192664337688e-08,1.0,1.0000000321865081
0.0,1.0,0.25,0,0.7996000051498413,1.0000000292062758,6.50182590231753e-08,1.0,1.0000000309944153
0.0,1.0,0.25,1,0.7986999750137329,1.0000000089406966,5.422057330209092e-08,1.0,1.0000000131130218
0.0,1.0,0.25,2,0.7986999750137329,1.0000000166893006,6.36849898776678e-08,1.0,1.0000000190734863
