noise,lambda,rho,run,arch,acc,phi_js,A,C_js
0.0,0.0,0.9,11,integrated,0.9000000357627869,0.21486525237560272,0.95,0.20412198975682258
0.0,0.0,0.9,11,modular,0.8500000238418579,0.0,0.95,0.0
0.0,0.0,0.9,12,integrated,0.887499988079071,0.15709827840328217,0.95,0.14924336448311806
0.0,0.0,0.9,12,modular,0.8375000357627869,0.0,0.95,0.0
0.0,0.0,0.9,13,integrated,0.9750000238418579,0.17881162464618683,0.95,0.1698710434138775
0.0,0.0,0.9,13,modular,0.9375,0.0,0.95,0.0
0.0,0.0,0.9,14,integrated,0.987500011920929,0.1810186356306076,0.95,0.17196770384907722
0.0,0.0,0.9,14,modular,0.8375000357627869,0.0,0.95,0.0
0.0,0.0,0.9,15,integrated,0.8500000238418579,0.20713575184345245,0.95,0.19677896425127983
0.0,0.0,0.9,15,modular,0.7750000357627869,0.0,0.95,0.0
0.0,0.0,0.9,16,integrated,1.0,0.1721750944852829,0.95,0.16356633976101875
0.0,0.0,0.9,16,modular,0.8375000357627869,0.0,0.95,0.0
0.0,0.0,0.9,17,integrated,1.0,0.22761905193328857,0.95,0.21623809933662413
0.0,0.0,0.9,17,modular,0.8500000238418579,0.0,0.95,0.0
0.0,0.0,0.9,18,integrated,1.0,0.2671518325805664,0.95,0.2537942409515381
0.0,0.0,0.9,18,modular,0.8125,0.0,0.95,0.0
0.0,0.0,0.9,19,integrated,0.875,0.10476870834827423,0.95,0.09953027293086052
0.0,0.0,0.9,19,modular,0.875,0.0,0.95,0.0
0.0,0.0,0.9,20,integrated,0.9125000238418579,0.17121922969818115,0.95,0.1626582682132721
0.0,0.0,0.9,20,modular,0.8375000357627869,0.0,0.95,0.0
0.0,0.0,0.9,21,integrated,0.9625000357627869,0.13534319400787354,0.95,0.12857603430747985
0.0,0.0,0.9,21,modular,0.800000011920929,0.0,0.95,0.0
0.0,0.0,0.9,22,integrated,0.9750000238418579,0.14343641698360443,0.95,0.1362645961344242
0.0,0.0,0.9,22,modular,0.7875000238418579,0.0,0.95,0.0
0.0,0.0,0.9,23,integrated,0.9375,0.08923790603876114,0.95,0.08477601073682307
0.0,0.0,0.9,23,modular,0.8375000357627869,0.0,0.95,0.0
0.0,0.0,0.9,24,integrated,0.9750000238418579,0.10523121803998947,0.95,0.09996965713799
0.0,0.0,0.9,24,modular,0.699999988079071,0.0,0.95,0.0
0.0,0.0,0.9,25,integrated,0.9125000238418579,0.1649661511182785,0.95,0.15671784356236457
0.0,0.0,0.9,25,modular,0.8500000238418579,0.0,0.95,0.0
0.0,0.0,0.9,26,integrated,0.9125000238418579,0.2178453952074051,0.95,0.2069531254470348
0.0,0.0,0.9,26,modular,0.6625000238418579,0.0,0.95,0.0
