experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1a-026,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,5,0.7934,0.2066,0.7934,0.2066,-0.09962445579916451,554.2514646053314
Q1a-027,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,6,0.7895,0.21050000000000002,0.7895,0.21050000000000002,-0.10522291278259888,548.9644107818604
Q1a-028,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,7,0.7465,0.25349999999999995,0.7465,0.25349999999999995,-0.07291747074874774,548.7551019191742
Q1a-029,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,8,0.731,0.269,0.731,0.269,-0.11008126239522185,550.0876977443695
Q1a-030,exp_Q1a_finite_size_scaling,0.5,0.4,0.46,9,0.8037,0.19630000000000003,0.8037,0.19630000000000003,-0.11496545886414777,566.4135091304779
Q1a-031,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,0,0.7248,0.2752,0.7248,0.2752,-0.022544890004988254,567.1797795295715
Q1a-032,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,1,0.7032,0.29679999999999995,0.7032,0.29679999999999995,-0.039749303384712525,567.9382145404816
Q1a-033,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,2,0.5509,0.44910000000000005,0.5509,0.44910000000000005,-0.04033126808225702,569.077029466629
Q1a-034,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,3,0.5632,0.43679999999999997,0.5632,0.43679999999999997,-0.03286118673198686,569.1829199790955
Q1a-035,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,4,0.6063,0.39370000000000005,0.6063,0.39370000000000005,-0.024741610741047953,569.3436396121979
Q1a-036,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,5,0.7649,0.23509999999999998,0.7649,0.23509999999999998,-0.03836162202867408,595.9127643108368
Q1a-037,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,6,0.6489,0.35109999999999997,0.6489,0.35109999999999997,-0.027269234411182043,574.5753116607666
Q1a-038,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,7,0.7095,0.2905,0.7095,0.2905,-0.009489663456164523,574.4669053554535
Q1a-039,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,8,0.7736,0.22640000000000005,0.7736,0.22640000000000005,-0.033863899701118125,578.0211615562439
Q1a-040,exp_Q1a_finite_size_scaling,0.5,0.4,0.48,9,0.7628,0.23719999999999997,0.7628,0.23719999999999997,-0.06994735462395639,576.4831600189209
Q1a-041,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,0,0.575,0.42500000000000004,0.575,0.42500000000000004,-0.010075582095085672,575.3881363868713
Q1a-042,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,1,0.3764,0.6235999999999999,0.3786,0.6214,-0.020912498251513617,577.8675446510315
Q1a-043,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,2,0.6323,0.3677,0.6323,0.3677,0.013622288286652682,577.5383350849152
Q1a-044,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,3,0.3807,0.6193,0.3807,0.6193,-0.020556861637474978,579.4635107517242
Q1a-045,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,4,0.4084,0.5916,0.4084,0.5916,-0.02710347203833612,579.041469335556
Q1a-046,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,5,0.7032,0.29679999999999995,0.7032,0.29679999999999995,-0.00241406035438484,572.968719959259
Q1a-047,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,6,0.616,0.384,0.616,0.384,0.02259293237533563,573.067640542984
Q1a-048,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,7,0.5722,0.42779999999999996,0.5722,0.42779999999999996,-0.003665545721222379,577.1120805740356
Q1a-049,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,8,0.6138,0.3862,0.6138,0.3862,-0.044043901208883185,577.3471665382385
Q1a-050,exp_Q1a_finite_size_scaling,0.5,0.4,0.5,9,0.5499,0.45009999999999994,0.5499,0.45009999999999994,-0.04774077976441454,575.6704597473145
Q1a-051,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,0,0.7552,0.24480000000000002,0.7552,0.24480000000000002,-0.4212980493355058,574.5749356746674
Q1a-052,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,1,0.7293,0.27070000000000005,0.7293,0.27070000000000005,-0.42480322950343813,570.7368025779724
Q1a-053,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,2,0.7287,0.2713,0.7287,0.2713,-0.40925426759809364,569.5108950138092
Q1a-054,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,3,0.7017,0.2983,0.7017,0.2983,-0.4250761108206199,584.4279325008392
Q1a-055,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,4,0.753,0.247,0.753,0.247,-0.42562269980085504,576.605101108551
Q1a-056,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,5,0.7482,0.2518,0.7482,0.2518,-0.424876570104056,573.7012379169464
Q1a-057,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,6,0.7459,0.2541,0.7459,0.2541,-0.41163972054750725,572.3427150249481
Q1a-058,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,7,0.712,0.28800000000000003,0.712,0.28800000000000003,-0.4262283504179118,573.8562207221985
Q1a-059,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,8,0.6976,0.3024,0.6976,0.3024,-0.43369799396648,573.5297148227692
Q1a-060,exp_Q1a_finite_size_scaling,0.5,0.8,0.38,9,0.7497,0.25029999999999997,0.7497,0.25029999999999997,-0.42569253122474415,573.8339059352875
Q1a-061,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,0,0.7331,0.2669,0.7331,0.2669,-0.44965635746021343,574.0660047531128
Q1a-062,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,1,0.7126,0.2874,0.7126,0.2874,-0.4409223673218499,573.8379082679749
Q1a-063,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,2,0.7158,0.2842,0.7158,0.2842,-0.43130137918761713,572.0980129241943
Q1a-064,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,3,0.6664,0.3336,0.6664,0.3336,-0.39894052720595424,569.941520690918
Q1a-065,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,4,0.6966,0.3034,0.6966,0.3034,-0.4173403474990021,570.7239344120026
Q1a-066,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,5,0.7274,0.27259999999999995,0.7274,0.27259999999999995,-0.4261358865284437,569.361718416214
Q1a-067,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,6,0.6999,0.30010000000000003,0.6999,0.30010000000000003,-0.3905807494621651,571.7468600273132
Q1a-068,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,7,0.712,0.28800000000000003,0.712,0.28800000000000003,-0.4333052852827276,568.8413801193237
Q1a-069,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,8,0.6908,0.30920000000000003,0.6908,0.30920000000000003,-0.41500531906403393,571.6915531158447
Q1a-070,exp_Q1a_finite_size_scaling,0.5,0.8,0.4,9,0.7264,0.27359999999999995,0.7264,0.27359999999999995,-0.440330237507813,572.7679080963135
Q1a-071,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,0,0.6477,0.35229999999999995,0.6477,0.35229999999999995,-0.36631509982586397,580.4388482570648
Q1a-072,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,1,0.6326,0.36739999999999995,0.6326,0.36739999999999995,-0.36039924241469373,580.1884577274323
Q1a-073,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,2,0.6557,0.34430000000000005,0.6557,0.34430000000000005,-0.35401291118687667,595.7698063850403
Q1a-074,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,3,0.5675,0.4325,0.5675,0.4325,-0.39755490065988264,584.4882044792175
Q1a-075,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,4,0.6164,0.38360000000000005,0.6164,0.38360000000000005,-0.38691863778455904,580.0889372825623
Q1a-076,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,5,0.6418,0.35819999999999996,0.6418,0.35819999999999996,-0.40724775285901954,578.3779184818268
Q1a-077,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,6,0.6504,0.3496,0.6504,0.3496,-0.37455936280279933,578.9780027866364
Q1a-078,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,7,0.6187,0.3813,0.6187,0.3813,-0.39345870153206314,569.7139031887054
Q1a-079,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,8,0.6717,0.32830000000000004,0.6717,0.32830000000000004,-0.4064847675403604,570.412029504776
Q1a-080,exp_Q1a_finite_size_scaling,0.5,0.8,0.42,9,0.7162,0.28380000000000005,0.7162,0.28380000000000005,-0.42546358863217276,568.3575088977814
Q1a-081,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,0,0.3729,0.6271,0.3729,0.6271,-0.3960071797633653,572.8951818943024
Q1a-082,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,1,0.563,0.43700000000000006,0.563,0.43700000000000006,-0.32369112639832887,573.220626115799
Q1a-083,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,2,0.557,0.44299999999999995,0.557,0.44299999999999995,-0.31042665998051083,573.2771878242493
Q1a-084,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,3,0.4723,0.5277000000000001,0.4723,0.5277000000000001,-0.34403564735672115,575.2100086212158
Q1a-085,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,4,0.5107,0.48929999999999996,0.5107,0.48929999999999996,-0.36504432056379527,574.1302366256714
Q1a-086,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,5,0.595,0.405,0.595,0.405,-0.2534224411764667,572.4301507472992
Q1a-087,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,6,0.5845,0.4155,0.5845,0.4155,-0.35948081399884296,575.6236464977264
Q1a-088,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,7,0.5358,0.46419999999999995,0.5358,0.46419999999999995,-0.3292920777133169,574.2125661373138
Q1a-089,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,8,0.4193,0.5807,0.4193,0.5807,-0.30026834356827825,573.7135899066925
Q1a-090,exp_Q1a_finite_size_scaling,0.5,0.8,0.44,9,0.5952,0.40480000000000005,0.5952,0.40480000000000005,-0.3457312963115008,574.4626412391663
Q1a-091,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,0,0.4695,0.5305,0.4695,0.5305,-0.2200745493098405,574.5809717178345
Q1a-092,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,1,0.5432,0.4568,0.5432,0.4568,-0.2886549974411336,591.8915514945984
Q1a-093,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,2,0.4143,0.5857,0.4143,0.5857,-0.2770330702940867,574.2504246234894
Q1a-094,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,3,0.352,0.648,0.3553,0.6447,-0.32048327662650616,572.6046397686005
Q1a-095,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,4,0.2969,0.7031000000000001,0.2969,0.7031000000000001,-0.3051733957787878,573.2984669208527
Q1a-096,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,5,0.5213,0.4787,0.5213,0.4787,-0.2395338444313871,572.8406383991241
Q1a-097,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,6,0.3845,0.6154999999999999,0.3845,0.6154999999999999,-0.26039337240721994,572.3637697696686
Q1a-098,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,7,0.4648,0.5352,0.4648,0.5352,-0.24955776062423396,566.5949702262878
Q1a-099,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,8,0.4007,0.5992999999999999,0.4007,0.5992999999999999,-0.23135627184556623,575.3355717658997
Q1a-100,exp_Q1a_finite_size_scaling,0.5,0.8,0.46,9,0.3546,0.6454,0.3546,0.6454,-0.35229950653714587,574.1373417377472
