experiment_id,experiment,width_mult,noise_rate,lambda,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
Q1b-018,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,7,0.8673,0.13270000000000004,0.8673,0.13270000000000004,-0.17452290933368353,651.8476791381836
Q1b-019,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,8,0.8754,0.12460000000000004,0.8754,0.12460000000000004,-0.1718073966197743,651.6335182189941
Q1b-020,exp_Q1b_finite_size_scaling,1.0,0.4,0.44,9,0.8619,0.1381,0.8619,0.1381,-0.16768032622097442,652.9215083122253
Q1b-021,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,0,0.8608,0.1392,0.8608,0.1392,-0.15795730294794563,651.202983379364
Q1b-022,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,1,0.8392,0.16080000000000005,0.8392,0.16080000000000005,-0.16378488438201258,651.7936503887177
Q1b-023,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,2,0.8519,0.1481,0.8519,0.1481,-0.13030517995965724,651.1231958866119
Q1b-024,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,3,0.8575,0.14249999999999996,0.8575,0.14249999999999996,-0.14448583581347055,652.2725398540497
Q1b-025,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,4,0.8372,0.16279999999999994,0.8372,0.16279999999999994,-0.1546986620946329,651.808367729187
Q1b-026,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,5,0.8534,0.14659999999999995,0.8534,0.14659999999999995,-0.15305628565123736,650.9787411689758
Q1b-027,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,6,0.8505,0.14949999999999997,0.8505,0.14949999999999997,-0.15903972887410306,651.2002387046814
Q1b-028,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,7,0.8388,0.1612,0.8388,0.1612,-0.138594020614255,662.5647103786469
Q1b-029,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,8,0.8236,0.1764,0.8236,0.1764,-0.11568167496301836,655.3064661026001
Q1b-030,exp_Q1b_finite_size_scaling,1.0,0.4,0.46,9,0.8491,0.15090000000000003,0.8491,0.15090000000000003,-0.13591282418417053,651.292765378952
Q1b-031,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,0,0.796,0.20399999999999996,0.796,0.20399999999999996,-0.04971828639282779,651.4989013671875
Q1b-032,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,1,0.8281,0.17190000000000005,0.8281,0.17190000000000005,-0.11493034854234609,651.0890610218048
Q1b-033,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,2,0.8024,0.1976,0.8024,0.1976,-0.0628516926263383,650.7862339019775
Q1b-034,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,3,0.8406,0.1594,0.8406,0.1594,-0.13480757289715778,614.6964955329895
Q1b-035,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,4,0.6719,0.32809999999999995,0.6719,0.32809999999999995,-0.04934356200515901,611.9278728961945
Q1b-036,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,5,0.8093,0.19069999999999998,0.8093,0.19069999999999998,-0.10779583440004249,610.3483417034149
Q1b-037,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,6,0.7879,0.21209999999999996,0.7879,0.21209999999999996,-0.06347861950526583,610.1394352912903
Q1b-038,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,7,0.7612,0.2388,0.7612,0.2388,-0.08534297295462055,611.1282088756561
Q1b-039,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,8,0.7903,0.2097,0.7903,0.2097,-0.10283061461119285,612.2728927135468
Q1b-040,exp_Q1b_finite_size_scaling,1.0,0.4,0.48,9,0.8315,0.16849999999999998,0.832,0.16800000000000004,-0.11292489587625713,626.2143223285675
Q1b-041,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,0,0.6515,0.34850000000000003,0.6515,0.34850000000000003,-0.018076187762668193,615.6273741722107
Q1b-042,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,1,0.6942,0.30579999999999996,0.6942,0.30579999999999996,-0.02427489240189339,611.5595953464508
Q1b-043,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,2,0.6781,0.32189999999999996,0.6781,0.32189999999999996,-0.014063695526304085,611.4419617652893
Q1b-044,exp_Q1b_finite_size_scaling,1.0,0.4,0.5,3,0.7005,0.2995,0.7005,0.2995,-0.03139173674077028,611.3796761035919
