experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2f-L0.52-010,0.52,10,0.34740000000000004,0.0004452927302502603,intermediate,669.0687253475189
S2f-L0.52-011,0.52,11,0.33440000000000003,-0.0010195460626487244,intermediate,662.1099574565887
S2f-L0.52-012,0.52,12,0.24670000000000003,0.00022330453813584338,intermediate,658.2641282081604
S2f-L0.52-013,0.52,13,0.4417,-0.016319734722176002,collapsed,658.4454953670502
S2f-L0.52-014,0.52,14,0.35119999999999996,0.019210741028180156,intermediate,659.0295543670654
S2f-L0.52-015,0.52,15,0.4487,-0.012751063974966219,collapsed,658.6420938968658
S2f-L0.52-016,0.52,16,0.37329999999999997,0.011370938873341382,intermediate,658.745879650116
S2f-L0.52-017,0.52,17,0.382,-0.00860000443718472,intermediate,658.4098987579346
S2f-L0.52-018,0.52,18,0.41990000000000005,-0.003916432793701795,collapsed,658.3744475841522
S2f-L0.52-019,0.52,19,0.36329999999999996,0.006920225860780268,intermediate,658.8136327266693
S2f-L0.52-020,0.52,20,0.6191,-0.030638191723549854,collapsed,658.5903198719025
S2f-L0.52-021,0.52,21,0.2673,-0.008572506536189135,intermediate,658.0049059391022
S2f-L0.52-022,0.52,22,0.2901,-0.0027057749487944343,intermediate,658.936003446579
S2f-L0.52-023,0.52,23,0.3607,0.0015202015274612948,intermediate,658.6008250713348
S2f-L0.52-024,0.52,24,0.37639999999999996,0.0034103369479583164,intermediate,659.09357380867
S2f-L0.52-025,0.52,25,0.2753,-0.008831488171509798,intermediate,658.5470395088196
S2f-L0.52-026,0.52,26,0.41200000000000003,-0.006840053413838993,collapsed,658.5300581455231
S2f-L0.52-027,0.52,27,0.3436,0.0014695074512921424,intermediate,658.4744620323181
S2f-L0.52-028,0.52,28,0.44179999999999997,-0.0017079030474878327,collapsed,665.8858435153961
S2f-L0.52-029,0.52,29,0.3748,0.004976094258739494,intermediate,662.6473634243011
S2f-L0.52-030,0.52,30,0.5404,-0.004794555023138537,collapsed,657.7869856357574
S2f-L0.52-031,0.52,31,0.504,-0.00754077345504644,collapsed,658.894299030304
S2f-L0.52-032,0.52,32,0.41679999999999995,-0.008751282949601681,collapsed,658.6820306777954
S2f-L0.52-033,0.52,33,0.5059,-0.005048543309854645,collapsed,658.3082549571991
S2f-L0.52-034,0.52,34,0.484,-0.043244262347585875,collapsed,658.1784656047821
S2f-L0.52-035,0.52,35,0.43720000000000003,0.01960730461969768,collapsed,658.0880610942841
S2f-L0.52-036,0.52,36,0.3325,0.008389485687562693,intermediate,658.4370486736298
S2f-L0.52-037,0.52,37,0.3479,0.009879311105481122,intermediate,659.0080652236938
S2f-L0.52-038,0.52,38,0.2863,0.0037482713236044658,intermediate,658.6197168827057
S2f-L0.52-039,0.52,39,0.3892,0.015543156434527637,intermediate,657.2056596279144
S2f-L0.52-040,0.52,40,0.5404,-0.009352273020034475,collapsed,657.9049315452576
S2f-L0.52-041,0.52,41,0.2895,-0.033588781705926815,intermediate,658.6560764312744
S2f-L0.52-042,0.52,42,0.35519999999999996,0.012528348323547253,intermediate,658.3523781299591
S2f-L0.52-043,0.52,43,0.3153,-0.010095513773261216,intermediate,658.3801958560944
S2f-L0.52-044,0.52,44,0.36729999999999996,-0.004901914727468429,intermediate,657.7818124294281
S2f-L0.52-045,0.52,45,0.6662,-0.05104686992297576,collapsed,658.7605378627777
S2f-L0.52-046,0.52,46,0.39380000000000004,0.0006915256192156956,intermediate,666.620194196701
S2f-L0.52-047,0.52,47,0.5282,-0.023876658910261795,collapsed,659.557457447052
S2f-L0.52-048,0.52,48,0.39849999999999997,0.006969993541864157,intermediate,659.1408977508545
S2f-L0.52-049,0.52,49,0.4911,0.014672826896475068,collapsed,657.9069249629974
