experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2b-004,0.8,slow,3,54,down,0.32,0.17710000000000004,-0.2424437174839633
R2b-004,0.8,slow,3,55,down,0.3,0.1875,-0.21374649463259443
R2b-004,0.8,slow,3,56,down,0.28,0.19720000000000004,-0.19079374479205938
R2b-004,0.8,slow,3,57,down,0.26,0.2087,-0.17115360285554612
R2b-004,0.8,slow,3,58,down,0.24,0.21950000000000003,-0.15729932179104308
R2b-004,0.8,slow,3,59,down,0.22,0.23170000000000002,-0.13884325667607542
R2b-005,0.8,slow,4,0,up,0.2,0.7423,-0.18869206085516027
R2b-005,0.8,slow,4,1,up,0.22,0.6517999999999999,-0.21536280724638124
R2b-005,0.8,slow,4,2,up,0.24,0.6137,-0.2340676189371746
R2b-005,0.8,slow,4,3,up,0.26,0.6364000000000001,-0.2299674173463041
R2b-005,0.8,slow,4,4,up,0.28,0.5767,-0.24727539534143608
R2b-005,0.8,slow,4,5,up,0.3,0.5355,-0.2665880153749176
R2b-005,0.8,slow,4,6,up,0.32,0.567,-0.29292098484334667
R2b-005,0.8,slow,4,7,up,0.34,0.4817,-0.32555218262845004
R2b-005,0.8,slow,4,8,up,0.36,0.4625,-0.3206606732956989
R2b-005,0.8,slow,4,9,up,0.38,0.4152,-0.3702341006042398
R2b-005,0.8,slow,4,10,up,0.39,0.27749999999999997,-0.47278048523834776
R2b-005,0.8,slow,4,11,up,0.4,0.2591,-0.4963536533165951
R2b-005,0.8,slow,4,12,up,0.41,0.243,-0.5091228004621
R2b-005,0.8,slow,4,13,up,0.42,0.24409999999999998,-0.5174660633261107
R2b-005,0.8,slow,4,14,up,0.43,0.2277,-0.5201292107908093
R2b-005,0.8,slow,4,15,up,0.44,0.21650000000000003,-0.5452184027859143
R2b-005,0.8,slow,4,16,up,0.45,0.21040000000000003,-0.5597964631659644
R2b-005,0.8,slow,4,17,up,0.46,0.20609999999999995,-0.5556522274808008
R2b-005,0.8,slow,4,18,up,0.47,0.2047,-0.545152585725395
R2b-005,0.8,slow,4,19,up,0.48,0.2016,-0.5550608064751236
R2b-005,0.8,slow,4,20,up,0.49,0.19720000000000004,-0.5666730717128637
R2b-005,0.8,slow,4,21,up,0.5,0.20140000000000002,-0.5391967964111543
R2b-005,0.8,slow,4,22,up,0.51,0.19289999999999996,-0.5239454962465228
R2b-005,0.8,slow,4,23,up,0.52,0.19399999999999995,-0.5273942579420245
R2b-005,0.8,slow,4,24,up,0.53,0.19269999999999998,-0.5049121717409212
R2b-005,0.8,slow,4,25,up,0.54,0.1845,-0.48895152445350376
R2b-005,0.8,slow,4,26,up,0.56,0.18420000000000003,-0.44462909199753586
R2b-005,0.8,slow,4,27,up,0.58,0.18389999999999995,-0.41601820548578183
R2b-005,0.8,slow,4,28,up,0.6,0.1834,-0.3852363616532209
R2b-005,0.8,slow,4,29,up,0.62,0.1815,-0.3489685197721939
R2b-005,0.8,slow,4,30,up,0.64,0.17820000000000003,-0.32473011710205857
R2b-005,0.8,slow,4,31,down,0.63,0.1764,-0.3440883208294304
R2b-005,0.8,slow,4,32,down,0.61,0.17059999999999997,-0.3798656254550632
R2b-005,0.8,slow,4,33,down,0.59,0.17159999999999997,-0.40522140629437503
R2b-005,0.8,slow,4,34,down,0.57,0.16910000000000003,-0.43213160259991273
R2b-005,0.8,slow,4,35,down,0.55,0.16400000000000003,-0.45157283803029935
R2b-005,0.8,slow,4,36,down,0.53,0.17000000000000004,-0.4768813358885901
R2b-005,0.8,slow,4,37,down,0.52,0.16700000000000004,-0.4897678708847688
R2b-005,0.8,slow,4,38,down,0.51,0.16579999999999995,-0.48390508762427736
R2b-005,0.8,slow,4,39,down,0.5,0.16479999999999995,-0.492326555355471
R2b-005,0.8,slow,4,40,down,0.49,0.16510000000000002,-0.4707955891380505
R2b-005,0.8,slow,4,41,down,0.48,0.16290000000000004,-0.4639948031732014
R2b-005,0.8,slow,4,42,down,0.47,0.1643,-0.44441803225449156
R2b-005,0.8,slow,4,43,down,0.46,0.1644,-0.45662365032702074
R2b-005,0.8,slow,4,44,down,0.45,0.16400000000000003,-0.4398118157167824
R2b-005,0.8,slow,4,45,down,0.44,0.16410000000000002,-0.42189722447371
R2b-005,0.8,slow,4,46,down,0.43,0.16569999999999996,-0.4045662236761074
R2b-005,0.8,slow,4,47,down,0.42,0.16369999999999996,-0.39859126401799067
R2b-005,0.8,slow,4,48,down,0.41,0.16249999999999998,-0.3671686666048303
R2b-005,0.8,slow,4,49,down,0.4,0.1673,-0.3637544873873798
R2b-005,0.8,slow,4,50,down,0.39,0.17400000000000004,-0.3440219729530568
R2b-005,0.8,slow,4,51,down,0.38,0.17420000000000002,-0.3329226021483845
R2b-005,0.8,slow,4,52,down,0.36,0.17769999999999997,-0.30870294137572757
R2b-005,0.8,slow,4,53,down,0.34,0.17989999999999995,-0.27489395903385416
R2b-005,0.8,slow,4,54,down,0.32,0.18589999999999995,-0.2583575221443815
R2b-005,0.8,slow,4,55,down,0.3,0.18920000000000003,-0.236134762134479
R2b-005,0.8,slow,4,56,down,0.28,0.1955,-0.21683398681711785
R2b-005,0.8,slow,4,57,down,0.26,0.20789999999999997,-0.19207967365426676
R2b-005,0.8,slow,4,58,down,0.24,0.21899999999999997,-0.17403453717730483
