experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,avg_cos
R2a-003,0.8,fast,2,32,down,0.61,0.9,0.06655486884802504
R2a-003,0.8,fast,2,33,down,0.59,0.8754,0.12436586787463261
R2a-003,0.8,fast,2,34,down,0.57,0.9,0.03874777644226442
R2a-003,0.8,fast,2,35,down,0.55,0.9,0.19662392075168805
R2a-003,0.8,fast,2,36,down,0.53,0.9,0.1739468980599575
R2a-003,0.8,fast,2,37,down,0.52,0.9,0.3226539131482037
R2a-003,0.8,fast,2,38,down,0.51,0.9,0.26020655925480685
R2a-003,0.8,fast,2,39,down,0.5,0.9,0.24842102000755922
R2a-003,0.8,fast,2,40,down,0.49,0.9,0.27131804304995705
R2a-003,0.8,fast,2,41,down,0.48,0.9,0.26438942798698434
R2a-003,0.8,fast,2,42,down,0.47,0.9,0.2196233670930473
R2a-003,0.8,fast,2,43,down,0.46,0.9,0.19179026284540185
R2a-003,0.8,fast,2,44,down,0.45,0.9,0.25192732352535335
R2a-003,0.8,fast,2,45,down,0.44,0.9,0.1952081321529588
R2a-003,0.8,fast,2,46,down,0.43,0.9,0.18947722709604672
R2a-003,0.8,fast,2,47,down,0.42,0.9,0.14900717344515177
R2a-003,0.8,fast,2,48,down,0.41,0.9,0.1824383588165653
R2a-003,0.8,fast,2,49,down,0.4,0.9,0.11974001518089553
R2a-003,0.8,fast,2,50,down,0.39,0.9,0.06388460713609749
R2a-003,0.8,fast,2,51,down,0.38,0.9,0.09646767950901876
R2a-003,0.8,fast,2,52,down,0.36,0.9,0.024334237264583305
R2a-003,0.8,fast,2,53,down,0.34,0.9,-0.031928264003779204
R2a-003,0.8,fast,2,54,down,0.32,0.9,0.025739205982155944
R2a-003,0.8,fast,2,55,down,0.3,0.9,-0.06702687179346625
R2a-003,0.8,fast,2,56,down,0.28,0.9,0.030516034277270034
R2a-003,0.8,fast,2,57,down,0.26,0.9,0.019897037347284506
R2a-003,0.8,fast,2,58,down,0.24,0.9,0.048104290014170874
R2a-003,0.8,fast,2,59,down,0.22,0.9,-0.03951278807861464
R2a-004,0.8,fast,3,0,up,0.2,0.8314,-0.15706947895375137
R2a-004,0.8,fast,3,1,up,0.22,0.7904,-0.16472833350357807
R2a-004,0.8,fast,3,2,up,0.24,0.7646999999999999,-0.23150381701998413
R2a-004,0.8,fast,3,3,up,0.26,0.7488,-0.24398665430917577
R2a-004,0.8,fast,3,4,up,0.28,0.7170000000000001,-0.2785793401607388
R2a-004,0.8,fast,3,5,up,0.3,0.7206,-0.3268714326277033
R2a-004,0.8,fast,3,6,up,0.32,0.7117,-0.3480027050530652
R2a-004,0.8,fast,3,7,up,0.34,0.6773,-0.39265078141791177
R2a-004,0.8,fast,3,8,up,0.36,0.7045,-0.42194324505648445
R2a-004,0.8,fast,3,9,up,0.38,0.7456,-0.42189375557984243
R2a-004,0.8,fast,3,10,up,0.39,0.7042999999999999,-0.41747799532830104
R2a-004,0.8,fast,3,11,up,0.4,0.6449,-0.4120886391598959
R2a-004,0.8,fast,3,12,up,0.41,0.6531,-0.4334090262537404
R2a-004,0.8,fast,3,13,up,0.42,0.6659999999999999,-0.40529109529998836
R2a-004,0.8,fast,3,14,up,0.43,0.7783,-0.41313630884171143
R2a-004,0.8,fast,3,15,up,0.44,0.78,-0.3452353555595084
R2a-004,0.8,fast,3,16,up,0.45,0.7182,-0.31195085630657116
R2a-004,0.8,fast,3,17,up,0.46,0.6724,-0.36524690495689915
R2a-004,0.8,fast,3,18,up,0.47,0.7397,-0.3596616859775873
R2a-004,0.8,fast,3,19,up,0.48,0.7167,-0.36002008593760015
R2a-004,0.8,fast,3,20,up,0.49,0.6918,-0.31576383733475694
R2a-004,0.8,fast,3,21,up,0.5,0.6836,-0.22848631596496824
R2a-004,0.8,fast,3,22,up,0.51,0.72,-0.22844314619860784
R2a-004,0.8,fast,3,23,up,0.52,0.7632,-0.22944091622508606
R2a-004,0.8,fast,3,24,up,0.53,0.8157,-0.1799020856233998
R2a-004,0.8,fast,3,25,up,0.54,0.751,-0.24176744449579593
R2a-004,0.8,fast,3,26,up,0.56,0.8462000000000001,-0.1390523611358842
R2a-004,0.8,fast,3,27,up,0.58,0.9037,-0.027711729996609598
R2a-004,0.8,fast,3,28,up,0.6,0.7992,0.08557515012394941
R2a-004,0.8,fast,3,29,up,0.62,0.8819,0.012161319619234728
R2a-004,0.8,fast,3,30,up,0.64,0.8445,0.09640465782865007
R2a-004,0.8,fast,3,31,down,0.63,0.8280000000000001,0.1075951663565784
R2a-004,0.8,fast,3,32,down,0.61,0.8978,0.16693199862018038
R2a-004,0.8,fast,3,33,down,0.59,0.9005,0.008976367044462157
R2a-004,0.8,fast,3,34,down,0.57,0.9001,0.024895912193104018
R2a-004,0.8,fast,3,35,down,0.55,0.9,0.1356529291548139
R2a-004,0.8,fast,3,36,down,0.53,0.9,0.2658110258587617
R2a-004,0.8,fast,3,37,down,0.52,0.9,0.27803259935914254
R2a-004,0.8,fast,3,38,down,0.51,0.9,0.28067564736215433
R2a-004,0.8,fast,3,39,down,0.5,0.9,0.17783019013170684
R2a-004,0.8,fast,3,40,down,0.49,0.9,0.26612341365948017
R2a-004,0.8,fast,3,41,down,0.48,0.9,0.22700664480882032
R2a-004,0.8,fast,3,42,down,0.47,0.9,0.22715774708788614
R2a-004,0.8,fast,3,43,down,0.46,0.9,0.17923993689521234
R2a-004,0.8,fast,3,44,down,0.45,0.9,0.23696570569763378
R2a-004,0.8,fast,3,45,down,0.44,0.9,0.2125882475389814
R2a-004,0.8,fast,3,46,down,0.43,0.9,0.16978491717303285
R2a-004,0.8,fast,3,47,down,0.42,0.9,0.12380394069667981
R2a-004,0.8,fast,3,48,down,0.41,0.9,0.14079824219248732
R2a-004,0.8,fast,3,49,down,0.4,0.9,0.14472167570219965
R2a-004,0.8,fast,3,50,down,0.39,0.9,0.08151121207569935
R2a-004,0.8,fast,3,51,down,0.38,0.9,0.08106036029984148
R2a-004,0.8,fast,3,52,down,0.36,0.9,-0.004710444287225908
R2a-004,0.8,fast,3,53,down,0.34,0.9,0.014075738948066624
R2a-004,0.8,fast,3,54,down,0.32,0.9,0.035793471292649606
R2a-004,0.8,fast,3,55,down,0.3,0.9,-0.0014987092807280775
R2a-004,0.8,fast,3,56,down,0.28,0.9,0.005389122548988279
R2a-004,0.8,fast,3,57,down,0.26,0.9,-0.0030130941838938364
R2a-004,0.8,fast,3,58,down,0.24,0.9,0.024892643322141802
R2a-004,0.8,fast,3,59,down,0.22,0.9,-0.013072780485512043
R2a-005,0.8,fast,4,0,up,0.2,0.8282,-0.1453303283612643
R2a-005,0.8,fast,4,1,up,0.22,0.817,-0.18337021850771745
R2a-005,0.8,fast,4,2,up,0.24,0.7775,-0.21880871846283578
R2a-005,0.8,fast,4,3,up,0.26,0.7693,-0.23886774692979015
R2a-005,0.8,fast,4,4,up,0.28,0.7479,-0.31193493844404324
R2a-005,0.8,fast,4,5,up,0.3,0.7111000000000001,-0.3138963127489753
R2a-005,0.8,fast,4,6,up,0.32,0.7325999999999999,-0.3461045688065719
R2a-005,0.8,fast,4,7,up,0.34,0.6837,-0.41058512784217543
R2a-005,0.8,fast,4,8,up,0.36,0.6454,-0.4294752169932638
R2a-005,0.8,fast,4,9,up,0.38,0.6534,-0.4307544579235267
R2a-005,0.8,fast,4,10,up,0.39,0.6852,-0.4795564756804735
R2a-005,0.8,fast,4,11,up,0.4,0.7175,-0.36039536812209655
R2a-005,0.8,fast,4,12,up,0.41,0.6601,-0.36313971647118426
R2a-005,0.8,fast,4,13,up,0.42,0.6732,-0.35229515224429114
R2a-005,0.8,fast,4,14,up,0.43,0.6636,-0.35150558493879375
R2a-005,0.8,fast,4,15,up,0.44,0.7073,-0.34027516246032047
R2a-005,0.8,fast,4,16,up,0.45,0.6964,-0.34148728188925553
R2a-005,0.8,fast,4,17,up,0.46,0.6205,-0.33365505905251724
R2a-005,0.8,fast,4,18,up,0.47,0.6885,-0.320910438030426
R2a-005,0.8,fast,4,19,up,0.48,0.6995,-0.3001247645754899
R2a-005,0.8,fast,4,20,up,0.49,0.6686000000000001,-0.3058795765213364
R2a-005,0.8,fast,4,21,up,0.5,0.6337999999999999,-0.29093033387990935
R2a-005,0.8,fast,4,22,up,0.51,0.7871,-0.3349140678646461
R2a-005,0.8,fast,4,23,up,0.52,0.7141,-0.21816512078464945
R2a-005,0.8,fast,4,24,up,0.53,0.8137,-0.21812192502678657
R2a-005,0.8,fast,4,25,up,0.54,0.7591,-0.17514591257810136
R2a-005,0.8,fast,4,26,up,0.56,0.7651,-0.1481990330491443
R2a-005,0.8,fast,4,27,up,0.58,0.7878000000000001,-0.14204537699341166
R2a-005,0.8,fast,4,28,up,0.6,0.8476,-0.03373600266474698
R2a-005,0.8,fast,4,29,up,0.62,0.9083,-0.02350756147287178
R2a-005,0.8,fast,4,30,up,0.64,0.8407,0.10237994426101142
R2a-005,0.8,fast,4,31,down,0.63,0.9,0.07552402838411247
R2a-005,0.8,fast,4,32,down,0.61,0.9,0.25670816408047376
R2a-005,0.8,fast,4,33,down,0.59,0.9,0.2680928822231422
R2a-005,0.8,fast,4,34,down,0.57,0.9,0.23686463037999916
R2a-005,0.8,fast,4,35,down,0.55,0.9,0.198530875602547
R2a-005,0.8,fast,4,36,down,0.53,0.9,0.1870477017910904
R2a-005,0.8,fast,4,37,down,0.52,0.9,0.20340160092776072
R2a-005,0.8,fast,4,38,down,0.51,0.9,0.2576549718232483
R2a-005,0.8,fast,4,39,down,0.5,0.9,0.26906069972533353
R2a-005,0.8,fast,4,40,down,0.49,0.9,0.2742662395502688
R2a-005,0.8,fast,4,41,down,0.48,0.9,0.2148426067540232
R2a-005,0.8,fast,4,42,down,0.47,0.9,0.193130885726031
R2a-005,0.8,fast,4,43,down,0.46,0.9,0.23176969895709534
