experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
N1-055,exp_N1_phase_diagram_low_noise,0.4,0.4,4,0.8854,0.11460000000000004,0.8854,0.11460000000000004,-0.18414739413325415,620.2903738021851
N1-056,exp_N1_phase_diagram_low_noise,0.45,0.4,0,0.8612,0.13880000000000003,0.8612,0.13880000000000003,-0.1561754891307105,618.6481485366821
N1-057,exp_N1_phase_diagram_low_noise,0.45,0.4,1,0.8627,0.13729999999999998,0.8627,0.13729999999999998,-0.16519540918686498,617.885333776474
N1-058,exp_N1_phase_diagram_low_noise,0.45,0.4,2,0.8419,0.15810000000000002,0.8419,0.15810000000000002,-0.16916682475988562,619.2425553798676
N1-059,exp_N1_phase_diagram_low_noise,0.45,0.4,3,0.862,0.138,0.862,0.138,-0.16200673309805766,618.6168568134308
N1-060,exp_N1_phase_diagram_low_noise,0.45,0.4,4,0.8648,0.1352,0.8648,0.1352,-0.16606091951841534,618.9294722080231
N1-061,exp_N1_phase_diagram_low_noise,0.5,0.4,0,0.6929,0.30710000000000004,0.6929,0.30710000000000004,-0.01681752503207491,620.5809707641602
N1-062,exp_N1_phase_diagram_low_noise,0.5,0.4,1,0.7585,0.24150000000000005,0.7585,0.24150000000000005,-0.020887977223667226,619.1550538539886
N1-063,exp_N1_phase_diagram_low_noise,0.5,0.4,2,0.6281,0.3719,0.6281,0.3719,-0.02484356325080332,619.8159666061401
N1-064,exp_N1_phase_diagram_low_noise,0.5,0.4,3,0.6529,0.34709999999999996,0.6529,0.34709999999999996,-0.030241451396815812,619.7366812229156
N1-065,exp_N1_phase_diagram_low_noise,0.5,0.4,4,0.7735,0.22650000000000003,0.7735,0.22650000000000003,-0.08212132606439246,620.7970061302185
N1-066,exp_N1_phase_diagram_low_noise,0.6,0.4,0,0.1,0.9,0.1734,0.8266,0.12476936801919343,620.9551043510437
N1-067,exp_N1_phase_diagram_low_noise,0.6,0.4,1,0.467,0.5329999999999999,0.467,0.5329999999999999,-0.009584599286395436,621.5643427371979
N1-068,exp_N1_phase_diagram_low_noise,0.6,0.4,2,0.5228,0.47719999999999996,0.5228,0.47719999999999996,0.0378753275412899,620.8245787620544
N1-069,exp_N1_phase_diagram_low_noise,0.6,0.4,3,0.4113,0.5887,0.4113,0.5887,0.034493509410677525,620.2602996826172
N1-070,exp_N1_phase_diagram_low_noise,0.6,0.4,4,0.592,0.40800000000000003,0.592,0.40800000000000003,0.06114461956670186,620.1889815330505
