experiment_id,lambda,seed,final_error,avg_cos,phase,time
S1d-033,0.54,32,0.3879,0.018320936639914978,intermediate,607.5562720298767
S1d-034,0.54,33,0.41279999999999994,0.018669964884460086,collapsed,607.1750612258911
S1d-035,0.54,34,0.7833,-0.01496479242031845,collapsed,608.365788936615
S1d-036,0.54,35,0.6409,-0.009033838073011455,collapsed,607.2619242668152
S1d-037,0.54,36,0.39970000000000006,0.0015981055859194799,intermediate,607.4041550159454
S1d-038,0.54,37,0.6127,-0.046025198226662754,collapsed,607.9533817768097
S1d-039,0.54,38,0.38370000000000004,0.02242889108223905,intermediate,607.5473191738129
S1d-040,0.54,39,0.5172,-0.007317395551113545,collapsed,607.2754137516022
S1d-041,0.54,40,0.4515,0.00617293024989206,collapsed,608.2144827842712
S1d-042,0.54,41,0.5597,0.005580758095263949,collapsed,608.3003582954407
S1d-043,0.54,42,0.5241,-0.007686367559446289,collapsed,609.6177852153778
S1d-044,0.54,43,0.46509999999999996,-0.019170302411681515,collapsed,617.6659317016602
S1d-045,0.54,44,0.39470000000000005,0.011989734686473954,intermediate,613.0179712772369
S1d-046,0.54,45,0.544,-0.003617982709927638,collapsed,608.0617883205414
S1d-047,0.54,46,0.42600000000000005,-0.0029202159786862985,collapsed,609.7497992515564
S1d-048,0.54,47,0.6255999999999999,0.0017569130925908323,collapsed,608.158783197403
S1d-049,0.54,48,0.38780000000000003,0.020238759585448934,intermediate,608.8299973011017
S1d-050,0.54,49,0.39780000000000004,0.01586821603303067,intermediate,608.0347669124603
S1d-051,0.56,0,0.4548,0.008925037856777411,collapsed,607.4487433433533
S1d-052,0.56,1,0.47940000000000005,0.026530302305740293,collapsed,609.3688232898712
S1d-053,0.56,2,0.45720000000000005,-0.009008372234301147,collapsed,607.9587550163269
S1d-054,0.56,3,0.3751,0.03063855231912422,intermediate,607.8097434043884
S1d-055,0.56,4,0.365,0.005678868247231718,intermediate,607.8295614719391
S1d-056,0.56,5,0.4647,0.029128684404539845,collapsed,607.3491673469543
S1d-057,0.56,6,0.4981,0.02124690988815,collapsed,607.2868220806122
S1d-058,0.56,7,0.6013,-0.010208702024959779,collapsed,609.3362975120544
S1d-059,0.56,8,0.5951,-0.010669799420874353,collapsed,608.9650514125824
S1d-060,0.56,9,0.5299,0.000415629111170977,collapsed,607.5148696899414
S1d-061,0.56,10,0.5640000000000001,0.028538666133019284,collapsed,607.4155125617981
S1d-062,0.56,11,0.49770000000000003,0.006897951901322513,collapsed,608.0581932067871
S1d-063,0.56,12,0.4406,0.03244016838816531,collapsed,618.7348573207855
S1d-064,0.56,13,0.49019999999999997,0.02314545513888612,collapsed,611.9963953495026
S1d-065,0.56,14,0.4162,0.04357307348846415,collapsed,608.3684995174408
S1d-066,0.56,15,0.4002,0.01935036428264706,collapsed,608.1110298633575
S1d-067,0.56,16,0.4397,0.03009870413756734,collapsed,607.8965728282928
S1d-068,0.56,17,0.4729,0.0203844777712532,collapsed,607.1079020500183
S1d-069,0.56,18,0.4113,0.023083800808734452,collapsed,608.0430154800415
S1d-070,0.56,19,0.7028,0.011578596203952636,collapsed,607.669636964798
S1d-071,0.56,20,0.9,0.09456381565007696,collapsed,608.5641191005707
S1d-072,0.56,21,0.3903,0.024943508427609132,intermediate,607.3624992370605
S1d-073,0.56,22,0.44699999999999995,0.029934629034788506,collapsed,608.1976943016052
S1d-074,0.56,23,0.4468,-0.019269864722793534,collapsed,608.0463726520538
S1d-075,0.56,24,0.9,0.08953245481420208,collapsed,608.4959352016449
S1d-076,0.56,25,0.41369999999999996,0.017851583071816855,collapsed,607.780467748642
S1d-077,0.56,26,0.42969999999999997,0.015455666079454073,collapsed,608.0257313251495
S1d-078,0.56,27,0.9,0.10593726870363308,collapsed,608.2903668880463
S1d-079,0.56,28,0.6102000000000001,0.0065831822986187095,collapsed,608.7802200317383
S1d-080,0.56,29,0.4326,0.022538542593927333,collapsed,607.6430985927582
S1d-081,0.56,30,0.4917,-0.01699685118676547,collapsed,607.2358355522156
S1d-082,0.56,31,0.4646,0.014275841846505577,collapsed,622.4594221115112
S1d-083,0.56,32,0.3768,0.028761291646642716,intermediate,613.2197160720825
S1d-084,0.56,33,0.5698,-0.005101737034369297,collapsed,606.1251113414764
S1d-085,0.56,34,0.9,0.09887934953322972,collapsed,605.6021721363068
S1d-086,0.56,35,0.5257000000000001,0.014931945540040624,collapsed,607.5157129764557
S1d-087,0.56,36,0.5494,0.016207623259379404,collapsed,608.7299604415894
S1d-088,0.56,37,0.39470000000000005,0.025071306723445878,intermediate,611.2056701183319
S1d-089,0.56,38,0.5618000000000001,0.01620712536053788,collapsed,612.9034883975983
S1d-090,0.56,39,0.4414,0.025762003674510422,collapsed,604.6776652336121
S1d-091,0.56,40,0.6182000000000001,0.01327461355325721,collapsed,604.2491054534912
S1d-092,0.56,41,0.42510000000000003,0.00899972199575206,collapsed,604.366014957428
S1d-093,0.56,42,0.41769999999999996,0.04181910291009427,collapsed,603.7765557765961
S1d-094,0.56,43,0.5246,0.013147253239903319,collapsed,604.8143877983093
S1d-095,0.56,44,0.3778,0.025733295129484392,intermediate,603.793642282486
S1d-096,0.56,45,0.46699999999999997,0.02023835000599858,collapsed,603.6106221675873
S1d-097,0.56,46,0.46109999999999995,0.039301660214734926,collapsed,603.6851885318756
S1d-098,0.56,47,0.5042,0.022781485086764273,collapsed,604.8289592266083
S1d-099,0.56,48,0.43879999999999997,0.019830417079914578,collapsed,608.9817831516266
S1d-100,0.56,49,0.40959999999999996,0.021168303820040264,collapsed,620.6137166023254
