experiment_id,experiment,lambda,cos_target,cos_actual_to_clean,cos_struct_clean,seed,noise_rate,test_acc,test_error,best_acc,best_error,time_seconds
L-024,exp_L_causal_intervention,0.35,-0.9,-0.8999999809845899,0.3671381081022346,2,0.4,0.6867,0.3133,0.6867,0.3133,640.6091270446777
L-025,exp_L_causal_intervention,0.35,-0.6,-0.600000026119061,0.21241614682889445,0,0.4,0.7594,0.24060000000000004,0.7973,0.2027,640.7539095878601
L-026,exp_L_causal_intervention,0.35,-0.6,-0.6000000226375384,0.21551517551967234,1,0.4,0.7694,0.23060000000000003,0.7914,0.2086,640.387167930603
L-027,exp_L_causal_intervention,0.35,-0.6,-0.6000000237654417,0.2098836382183467,2,0.4,0.7603,0.23970000000000002,0.7938,0.20620000000000005,640.1552267074585
L-028,exp_L_causal_intervention,0.35,-0.3,-0.30000001245431407,0.09760987282128114,0,0.4,0.7164,0.28359999999999996,0.8308,0.16920000000000002,640.7416303157806
L-029,exp_L_causal_intervention,0.35,-0.3,-0.3000000127538657,0.09799698990037758,1,0.4,0.711,0.28900000000000003,0.8264,0.17359999999999998,640.7163319587708
L-030,exp_L_causal_intervention,0.35,-0.3,-0.3000000117130769,0.0960755929568669,2,0.4,0.717,0.28300000000000003,0.8191,0.18089999999999995,640.0623905658722
L-031,exp_L_causal_intervention,0.35,0.0,6.660999273523116e-13,0.02501535030390294,0,0.4,0.7133,0.28669999999999995,0.8321,0.16790000000000005,641.0332887172699
L-032,exp_L_causal_intervention,0.35,0.0,1.266762876930909e-13,0.025946019262679143,1,0.4,0.7078,0.2922,0.8316,0.1684,640.8538854122162
L-033,exp_L_causal_intervention,0.35,0.0,1.4318711458681474e-13,0.02484680952229358,2,0.4,0.7129,0.2871,0.8308,0.16920000000000002,639.7611546516418
L-034,exp_L_causal_intervention,0.35,0.3,0.300000012194499,-0.021329057729564976,0,0.4,0.8096,0.1904,0.8777,0.12229999999999996,640.3991498947144
L-035,exp_L_causal_intervention,0.35,0.3,0.30000001329947745,-0.018434059854490138,1,0.4,0.822,0.17800000000000005,0.8864,0.11360000000000003,640.2365436553955
