experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1a-002,0.4,fast,1,54,down,0.32,0.14770000000000005,0.8523,-0.1720394547553543
R1a-002,0.4,fast,1,55,down,0.3,0.14670000000000005,0.8533,-0.1555142815661978
R1a-002,0.4,fast,1,56,down,0.28,0.14470000000000005,0.8553,-0.1395338718537051
R1a-002,0.4,fast,1,57,down,0.26,0.14090000000000003,0.8591,-0.12179385420239093
R1a-002,0.4,fast,1,58,down,0.24,0.14100000000000001,0.859,-0.11526796331971276
R1a-002,0.4,fast,1,59,down,0.22,0.1361,0.8639,-0.08897568011473465
R1a-003,0.4,fast,2,0,up,0.2,0.6813,0.3187,-0.13581565046226796
R1a-003,0.4,fast,2,1,up,0.22,0.5746,0.4254,-0.1443778232716461
R1a-003,0.4,fast,2,2,up,0.24,0.5728,0.4272,-0.17084735191940348
R1a-003,0.4,fast,2,3,up,0.26,0.4919,0.5081,-0.17342467929179572
R1a-003,0.4,fast,2,4,up,0.28,0.44889999999999997,0.5511,-0.2017618997393138
R1a-003,0.4,fast,2,5,up,0.3,0.4053,0.5947,-0.2156132658995802
R1a-003,0.4,fast,2,6,up,0.32,0.44889999999999997,0.5511,-0.22083493551163344
R1a-003,0.4,fast,2,7,up,0.34,0.4907,0.5093,-0.22678533137053708
R1a-003,0.4,fast,2,8,up,0.36,0.4589,0.5411,-0.20561390436178414
R1a-003,0.4,fast,2,9,up,0.38,0.38370000000000004,0.6163,-0.24217010068003925
R1a-003,0.4,fast,2,10,up,0.4,0.5347,0.4653,-0.17737563100895293
R1a-003,0.4,fast,2,11,up,0.42,0.49639999999999995,0.5036,-0.13805144548188059
R1a-003,0.4,fast,2,12,up,0.43,0.4508,0.5492,-0.11097575091680854
R1a-003,0.4,fast,2,13,up,0.44,0.32489999999999997,0.6751,-0.14144249273730175
R1a-003,0.4,fast,2,14,up,0.45,0.45189999999999997,0.5481,-0.1155700776987348
R1a-003,0.4,fast,2,15,up,0.46,0.5441,0.4559,-0.12556922760832465
R1a-003,0.4,fast,2,16,up,0.47,0.5497000000000001,0.4503,-0.08775385829135396
R1a-003,0.4,fast,2,17,up,0.48,0.37529999999999997,0.6247,-0.117492341902107
R1a-003,0.4,fast,2,18,up,0.49,0.3517,0.6483,-0.07089602068893383
R1a-003,0.4,fast,2,19,up,0.5,0.4897,0.5103,-0.09804972258101845
R1a-003,0.4,fast,2,20,up,0.51,0.5644,0.4356,-0.05785158228328718
R1a-003,0.4,fast,2,21,up,0.52,0.5141,0.4859,-0.06738454961617078
R1a-003,0.4,fast,2,22,up,0.53,0.3538,0.6462,-0.07228429741891367
R1a-003,0.4,fast,2,23,up,0.54,0.4858,0.5142,-0.059333925548826855
R1a-003,0.4,fast,2,24,up,0.55,0.4154,0.5846,-0.06259896216096775
R1a-003,0.4,fast,2,25,up,0.56,0.3919,0.6081,-0.035573956712234615
R1a-003,0.4,fast,2,26,up,0.57,0.37970000000000004,0.6203,-0.032939079918480496
R1a-003,0.4,fast,2,27,up,0.58,0.49319999999999997,0.5068,-0.011439169284279401
R1a-003,0.4,fast,2,28,up,0.6,0.5450999999999999,0.4549,0.002816648049070975
R1a-003,0.4,fast,2,29,up,0.62,0.4246,0.5754,0.02272546216988062
R1a-003,0.4,fast,2,30,up,0.64,0.48629999999999995,0.5137,0.002166787903679877
R1a-003,0.4,fast,2,31,down,0.63,0.5984,0.4016,0.013813575919793576
