experiment_id,noise_rate,sweep_type,seed,step_idx,direction,lambda,test_error,test_acc,avg_cos
R1b-003,0.4,slow,2,25,up,0.56,0.09240000000000004,0.9076,-0.10048822699380773
R1b-003,0.4,slow,2,26,up,0.57,0.09360000000000002,0.9064,-0.1021044371193465
R1b-003,0.4,slow,2,27,up,0.58,0.09089999999999998,0.9091,-0.10438259681496694
R1b-003,0.4,slow,2,28,up,0.6,0.0927,0.9073,-0.08899702839981004
R1b-003,0.4,slow,2,29,up,0.62,0.09419999999999995,0.9058,-0.09210972480561432
R1b-003,0.4,slow,2,30,up,0.64,0.09440000000000004,0.9056,-0.07690639410533809
R1b-003,0.4,slow,2,31,down,0.63,0.09219999999999995,0.9078,-0.08079804610270931
R1b-003,0.4,slow,2,32,down,0.61,0.0917,0.9083,-0.0860575584561697
R1b-003,0.4,slow,2,33,down,0.59,0.09419999999999995,0.9058,-0.09084333629734644
R1b-003,0.4,slow,2,34,down,0.57,0.09289999999999998,0.9071,-0.08680132306798609
R1b-003,0.4,slow,2,35,down,0.56,0.09260000000000002,0.9074,-0.09336844885873856
R1b-003,0.4,slow,2,36,down,0.55,0.09240000000000004,0.9076,-0.0947952413152219
R1b-003,0.4,slow,2,37,down,0.54,0.09140000000000004,0.9086,-0.09388063083003674
R1b-003,0.4,slow,2,38,down,0.53,0.0948,0.9052,-0.09147435865288943
R1b-003,0.4,slow,2,39,down,0.52,0.09509999999999996,0.9049,-0.09423744347782767
R1b-003,0.4,slow,2,40,down,0.51,0.0917,0.9083,-0.10374590844077496
R1b-003,0.4,slow,2,41,down,0.5,0.09460000000000002,0.9054,-0.09119576624029183
R1b-003,0.4,slow,2,42,down,0.49,0.0937,0.9063,-0.10049678587677832
R1b-003,0.4,slow,2,43,down,0.48,0.09089999999999998,0.9091,-0.09011561280040413
R1b-003,0.4,slow,2,44,down,0.47,0.0938,0.9062,-0.08950251940523787
R1b-003,0.4,slow,2,45,down,0.46,0.09360000000000002,0.9064,-0.09196902737401579
R1b-003,0.4,slow,2,46,down,0.45,0.0938,0.9062,-0.08746408316905477
R1b-003,0.4,slow,2,47,down,0.44,0.09330000000000005,0.9067,-0.08048668685749326
R1b-003,0.4,slow,2,48,down,0.43,0.09560000000000002,0.9044,-0.08239616182209848
R1b-003,0.4,slow,2,49,down,0.42,0.09589999999999999,0.9041,-0.08689385323965808
R1b-003,0.4,slow,2,50,down,0.4,0.09499999999999997,0.905,-0.08091417400698576
R1b-003,0.4,slow,2,51,down,0.38,0.0948,0.9052,-0.08200245953583139
R1b-003,0.4,slow,2,52,down,0.36,0.09640000000000004,0.9036,-0.07639269886196268
