experiment_id,experiment,lambda,noise_rate,seed,test_acc,test_error,best_acc,best_error,avg_cos_struct_value,time_seconds
N2-021,exp_N2_phase_diagram_high_noise,0.45,0.6,0,0.8264,0.17359999999999998,0.8264,0.17359999999999998,-0.3365341035781924,616.8866395950317
N2-022,exp_N2_phase_diagram_high_noise,0.45,0.6,1,0.801,0.19899999999999995,0.801,0.19899999999999995,-0.2986096398608986,617.9532039165497
N2-023,exp_N2_phase_diagram_high_noise,0.45,0.6,2,0.8247,0.1753,0.8247,0.1753,-0.32322815787496983,616.4347615242004
N2-024,exp_N2_phase_diagram_high_noise,0.45,0.6,3,0.7379,0.2621,0.7379,0.2621,-0.2233341907648704,616.496826171875
N2-025,exp_N2_phase_diagram_high_noise,0.45,0.6,4,0.8232,0.17679999999999996,0.8232,0.17679999999999996,-0.30083727102341035,617.3726000785828
N2-026,exp_N2_phase_diagram_high_noise,0.5,0.6,0,0.5204,0.4796,0.5204,0.4796,-0.11711767395705178,617.1177928447723
N2-027,exp_N2_phase_diagram_high_noise,0.5,0.6,1,0.5325,0.4675,0.5325,0.4675,-0.1012669727349809,616.8090586662292
N2-028,exp_N2_phase_diagram_high_noise,0.5,0.6,2,0.5344,0.4656,0.5344,0.4656,-0.09979785554104437,617.1511209011078
N2-029,exp_N2_phase_diagram_high_noise,0.5,0.6,3,0.565,0.43500000000000005,0.565,0.43500000000000005,-0.06919697209231507,618.7312033176422
N2-030,exp_N2_phase_diagram_high_noise,0.5,0.6,4,0.6296,0.37039999999999995,0.6296,0.37039999999999995,-0.09674047664436511,615.3670787811279
N2-031,exp_N2_phase_diagram_high_noise,0.6,0.6,0,0.1,0.9,0.1496,0.8504,0.12937695739133648,615.680013179779
N2-032,exp_N2_phase_diagram_high_noise,0.6,0.6,1,0.1,0.9,0.1119,0.8881,0.13020312127542608,615.7077689170837
N2-033,exp_N2_phase_diagram_high_noise,0.6,0.6,2,0.1,0.9,0.1672,0.8328,0.11663350729563106,616.1566860675812
N2-034,exp_N2_phase_diagram_high_noise,0.6,0.6,3,0.1,0.9,0.182,0.8180000000000001,0.1017188761068884,625.4270882606506
N2-035,exp_N2_phase_diagram_high_noise,0.6,0.6,4,0.1,0.9,0.1764,0.8236,0.11234553193287346,627.0056157112122
N2-036,exp_N2_phase_diagram_high_noise,0.2,0.8,0,0.6833,0.3167,0.6932,0.30679999999999996,-0.16469715936835974,626.0069200992584
N2-037,exp_N2_phase_diagram_high_noise,0.2,0.8,1,0.6894,0.3106,0.6955,0.3045,-0.16619906473520377,627.8427975177765
N2-038,exp_N2_phase_diagram_high_noise,0.2,0.8,2,0.697,0.30300000000000005,0.7069,0.2931,-0.16375168264063245,627.5068719387054
N2-039,exp_N2_phase_diagram_high_noise,0.2,0.8,3,0.6704,0.3296,0.684,0.31599999999999995,-0.16225650761580057,627.2458531856537
N2-040,exp_N2_phase_diagram_high_noise,0.2,0.8,4,0.6948,0.3052,0.7193,0.28069999999999995,-0.15828212007646486,627.3083138465881
N2-041,exp_N2_phase_diagram_high_noise,0.3,0.8,0,0.7349,0.2651,0.7349,0.2651,-0.28716711792060867,626.3572058677673
N2-042,exp_N2_phase_diagram_high_noise,0.3,0.8,1,0.7607,0.23929999999999996,0.7631,0.2369,-0.2933249073848546,627.1768243312836
N2-043,exp_N2_phase_diagram_high_noise,0.3,0.8,2,0.7604,0.23960000000000004,0.7635,0.23650000000000004,-0.29251210254533455,627.7187986373901
N2-044,exp_N2_phase_diagram_high_noise,0.3,0.8,3,0.7642,0.2358,0.7652,0.2348,-0.28528864147241273,628.1868274211884
N2-045,exp_N2_phase_diagram_high_noise,0.3,0.8,4,0.7691,0.2309,0.7731,0.2269,-0.2868888677128424,630.4548878669739
N2-046,exp_N2_phase_diagram_high_noise,0.35,0.8,0,0.7724,0.22760000000000002,0.7724,0.22760000000000002,-0.36647338493177906,626.3515930175781
N2-047,exp_N2_phase_diagram_high_noise,0.35,0.8,1,0.7801,0.21989999999999998,0.7824,0.21760000000000002,-0.37119940012120284,628.2715249061584
N2-048,exp_N2_phase_diagram_high_noise,0.35,0.8,2,0.7825,0.21750000000000003,0.7825,0.21750000000000003,-0.3707141683638717,627.890222787857
N2-049,exp_N2_phase_diagram_high_noise,0.35,0.8,3,0.7568,0.24319999999999997,0.7568,0.24319999999999997,-0.3700949433552316,628.5980474948883
N2-050,exp_N2_phase_diagram_high_noise,0.35,0.8,4,0.7919,0.20809999999999995,0.7933,0.2067,-0.3629697941988587,627.550861120224
N2-051,exp_N2_phase_diagram_high_noise,0.4,0.8,0,0.7611,0.2389,0.7611,0.2389,-0.4376422865333943,627.8607499599457
N2-052,exp_N2_phase_diagram_high_noise,0.4,0.8,1,0.7717,0.22829999999999995,0.7717,0.22829999999999995,-0.4404925641184792,628.9849624633789
N2-053,exp_N2_phase_diagram_high_noise,0.4,0.8,2,0.7625,0.23750000000000004,0.7625,0.23750000000000004,-0.4352043232029386,627.2444174289703
N2-054,exp_N2_phase_diagram_high_noise,0.4,0.8,3,0.7576,0.24239999999999995,0.7576,0.24239999999999995,-0.4363442344757346,627.6568176746368
N2-055,exp_N2_phase_diagram_high_noise,0.4,0.8,4,0.7713,0.22870000000000001,0.7713,0.22870000000000001,-0.43700520373782964,626.8068623542786
N2-056,exp_N2_phase_diagram_high_noise,0.45,0.8,0,0.5778,0.4222,0.5778,0.4222,-0.3320753606610621,627.0980672836304
N2-057,exp_N2_phase_diagram_high_noise,0.45,0.8,1,0.6027,0.3973,0.6027,0.3973,-0.28334217312822163,627.4047572612762
N2-058,exp_N2_phase_diagram_high_noise,0.45,0.8,2,0.561,0.43899999999999995,0.561,0.43899999999999995,-0.42960774162515575,627.0808479785919
N2-059,exp_N2_phase_diagram_high_noise,0.45,0.8,3,0.6357,0.36429999999999996,0.6357,0.36429999999999996,-0.39698499656016095,627.1150653362274
N2-060,exp_N2_phase_diagram_high_noise,0.45,0.8,4,0.7302,0.26980000000000004,0.7302,0.26980000000000004,-0.40121569743038465,626.5023851394653
N2-061,exp_N2_phase_diagram_high_noise,0.5,0.8,0,0.4998,0.5002,0.4998,0.5002,-0.19710031113034493,627.7722270488739
N2-062,exp_N2_phase_diagram_high_noise,0.5,0.8,1,0.5107,0.48929999999999996,0.5107,0.48929999999999996,-0.18073058464485578,627.6974563598633
N2-063,exp_N2_phase_diagram_high_noise,0.5,0.8,2,0.3932,0.6068,0.3932,0.6068,-0.24419860264897728,627.3696134090424
N2-064,exp_N2_phase_diagram_high_noise,0.5,0.8,3,0.296,0.704,0.296,0.704,-0.21788752478951565,628.0951747894287
N2-065,exp_N2_phase_diagram_high_noise,0.5,0.8,4,0.4176,0.5824,0.4176,0.5824,-0.195311348371148,627.6055595874786
N2-066,exp_N2_phase_diagram_high_noise,0.6,0.8,0,0.1,0.9,0.1311,0.8689,0.12094729817804926,629.1162724494934
N2-067,exp_N2_phase_diagram_high_noise,0.6,0.8,1,0.3366,0.6634,0.3366,0.6634,-0.10159029076962868,627.5937435626984
N2-068,exp_N2_phase_diagram_high_noise,0.6,0.8,2,0.1,0.9,0.1377,0.8623000000000001,0.10818905124680783,627.0414409637451
N2-069,exp_N2_phase_diagram_high_noise,0.6,0.8,3,0.1,0.9,0.1463,0.8537,0.11282610504624718,627.440988779068
N2-070,exp_N2_phase_diagram_high_noise,0.6,0.8,4,0.1,0.9,0.1955,0.8045,0.11471366232570757,626.7839367389679
