noise_rate,rho,lambda,seed,train_acc,test_acc,cos_mean,cos_std,cos_final
0.0,-0.7,1.0,2,0.8134499788284302,0.7986999750137329,-0.7000000017881394,5.321529924158916e-08,-0.7000000476837158
0.0,-0.7,1.0,3,0.8111000061035156,0.801099956035614,-0.7,4.986882367933247e-08,-0.699999988079071
0.0,-0.7,1.0,4,0.8125999569892883,0.7993999719619751,-0.7000000041723251,5.9518155290062373e-08,-0.6999999284744263
0.0,-0.7,1.0,5,0.8134999871253967,0.8011999726295471,-0.6999999958276749,5.569447291213659e-08,-0.699999988079071
0.0,-0.7,1.0,6,0.8135499954223633,0.7998999953269958,-0.7000000041723251,5.0474260559891706e-08,-0.699999988079071
0.0,-0.7,1.0,7,0.8129499554634094,0.8014999628067017,-0.6999999952316284,4.402681663660857e-08,-0.7000000476837158
0.0,-0.7,1.0,8,0.8125500082969666,0.7991999983787537,-0.7000000023841858,5.535214789506864e-08,-0.7000000476837158
0.0,-0.7,1.0,9,0.8122999668121338,0.7996999621391296,-0.6999999976158142,4.894844333564713e-08,-0.699999988079071
0.0,-0.4,0.0,0,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,1,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,2,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,3,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,4,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,5,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,6,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,7,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,8,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.0,9,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.25,0,0.1005999967455864,0.09989999979734421,-0.400000017285347,3.418314685568731e-08,-0.4000000059604645
0.0,-0.4,0.25,1,0.10644999891519547,0.1119999960064888,-0.4000000163912773,3.45950924344179e-08,-0.40000003576278687
0.0,-0.4,0.25,2,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.25,3,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.25,4,0.1078999936580658,0.10610000044107437,-0.400000019967556,3.194692194996905e-08,-0.40000006556510925
0.0,-0.4,0.25,5,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.25,6,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.25,7,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.25,8,0.09724999964237213,0.09629999846220016,-0.40000003188848493,3.36264768615481e-08,-0.40000003576278687
0.0,-0.4,0.25,9,0.10239999741315842,0.09950000047683716,,,
0.0,-0.4,0.5,0,0.8101499676704407,0.8001999855041504,-0.4000000223517418,3.107883574756117e-08,-0.40000003576278687
0.0,-0.4,0.5,1,0.8090999722480774,0.7986999750137329,-0.40000002562999726,3.481135785686694e-08,-0.40000006556510925
0.0,-0.4,0.5,2,0.8125500082969666,0.7985000014305115,-0.40000002562999726,3.5065570068556616e-08,-0.40000003576278687
0.0,-0.4,0.5,3,0.8086000084877014,0.8007000088691711,-0.40000002026557924,3.757457140081998e-08,-0.4000000059604645
0.0,-0.4,0.5,4,0.8111499547958374,0.7986999750137329,-0.4000000259280205,2.981870915988476e-08,-0.40000003576278687
0.0,-0.4,0.5,5,0.8107999563217163,0.800599992275238,-0.40000002801418305,3.713230640214091e-08,-0.3999999761581421
0.0,-0.4,0.5,6,0.8116999864578247,0.7996999621391296,-0.4000000289082527,3.420262850406434e-08,-0.40000006556510925
0.0,-0.4,0.5,7,0.8090499639511108,0.801099956035614,-0.40000002324581146,3.323460068571722e-08,-0.3999999761581421
