noise_rate,rho,lambda,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,cos_mean,cos_std
0.0,0.0,0.75,0.8124749839305878,0.0008916987219437393,0.7999999821186066,0.0010780814363445716,8.839560905471445e-11,2.454349901853686e-10
0.0,0.0,1.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,-3.472086973488331e-11,1.0143452612895131e-10
0.0,0.4,0.0,0.8089049756526947,0.0012334330119428045,0.7994499802589417,0.0014331361125696689,0.40000002792477607,2.654656725843643e-09
0.0,0.4,0.25,0.8107799828052521,0.0009658632730817113,0.8000599861145019,0.0011087576060930687,0.4000000247955322,3.2428432768975525e-09
0.0,0.4,0.5,0.8116949737071991,0.0007769046670576982,0.8000399768352509,0.0011673224939252563,0.400000027269125,3.929313119002196e-09
0.0,0.4,0.75,0.8124549806118011,0.0008159747100497591,0.800059974193573,0.0010658314146424757,0.40000002562999726,2.1026542219070233e-09
0.0,0.4,1.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,0.40000002557039266,3.641361971338529e-09
0.0,0.7,0.0,0.8110549926757813,0.0009508629418567154,0.8002799868583679,0.001245268379402849,0.7000000020861625,4.29125849570274e-09
0.0,0.7,0.25,0.8116049706935883,0.0007212816076345532,0.800139981508255,0.0012738420317727633,0.699999998986721,3.576830539330023e-09
0.0,0.7,0.5,0.8122349858283997,0.000868604588902936,0.8000199854373932,0.0012016665077872425,0.6999999997019768,5.614308986073639e-09
0.0,0.7,0.75,0.8125699758529663,0.0008138420215398661,0.7999699771404266,0.0010604514303967404,0.6999999998807908,3.6505648625726657e-09
0.0,0.7,1.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,0.7000000005960464,5.887163635579716e-09
0.0,1.0,0.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,1.0000000220537184,6.6491764635143136e-09
0.0,1.0,0.25,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,1.0000000188946723,5.18899044865918e-09
0.0,1.0,0.5,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,1.0000000207424165,4.953524946308391e-09
0.0,1.0,0.75,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,1.0000000180006028,7.780632428756456e-09
0.0,1.0,1.0,0.8126049816608429,0.0008008461075495436,0.7998999774456024,0.001024145530160741,1.000000018596649,6.044641213842493e-09
0.3,-0.7,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.3,-0.7,0.25,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.3,-0.7,0.5,0.8037749886512756,0.0017346477642145898,0.7949199795722961,0.001576082910478061,-0.700000003516674,3.469265692638071e-09
0.3,-0.7,0.75,0.8068949699401855,0.0011646274103859664,0.7976699709892273,0.0015282886408227003,-0.7000000028014183,5.257011025448456e-09
0.3,-0.7,1.0,0.8072549879550934,0.0009886704185855138,0.7983799815177918,0.0013497341839020943,-0.7000000000596046,5.502096672239554e-09
0.3,-0.4,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.3,-0.4,0.25,0.0030449999030679464,0.0011764943249962735,0.0030599999474361537,0.0009287984511553056,-0.40000002419948577,4.7886107559822925e-09
0.3,-0.4,0.5,0.8046449840068817,0.0015159175595715817,0.7958899676799774,0.0017622293061096614,-0.40000002741813656,4.357439715958282e-09
0.3,-0.4,0.75,0.8069049775600433,0.0011434521499639541,0.7976099789142609,0.0013916042332334068,-0.40000002613663677,3.690490836227287e-09
0.3,-0.4,1.0,0.8072549879550934,0.0009886704185855138,0.7983799815177918,0.0013497341839020943,-0.4000000269114971,3.042659976146177e-09
0.3,-0.2,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.3,-0.2,0.25,0.709874975681305,0.017491597732837014,0.706139987707138,0.016555108901753157,-0.20000001345574855,1.4885423856328822e-09
0.3,-0.2,0.5,0.8049149811267853,0.0014331510288502856,0.7962699890136719,0.0016580051801986847,-0.20000001357495786,1.829670051537248e-09
0.3,-0.2,0.75,0.807019978761673,0.0011676732288083479,0.7977099776268005,0.0012999616551219086,-0.20000001274049284,2.0935409725663863e-09
0.3,-0.2,1.0,0.8072549879550934,0.0009886704185855138,0.7983799815177918,0.0013497341839020943,-0.20000001396238803,1.869157161164788e-09
0.3,0.0,0.0,0.10211499780416489,0.016404182476517128,0.10207999795675278,0.01656366824115867,4.5780325308442114e-11,1.8494695135088022e-10
0.3,0.0,0.25,0.7928899884223938,0.0034296712693203824,0.7862299859523774,0.0024572140756107213,-1.8877472029998892e-11,1.67797270853389e-10
0.3,0.0,0.5,0.8052599787712097,0.001481510890789185,0.7965399742126464,0.0016681446883743773,9.329960448667406e-11,3.0885606206309896e-10
0.3,0.0,0.75,0.8070649862289428,0.0011752272262104827,0.7977499783039093,0.0013737656183974135,-7.588096195831895e-11,1.9127451607859813e-10
0.3,0.0,1.0,0.8072549879550934,0.0009886704185855138,0.7983799815177918,0.0013497341839020943,-1.8866558093577626e-11,1.728731803958675e-10
0.3,0.4,0.0,0.8128849744796753,0.0013318902101449742,0.7990599691867828,0.0012738399521253327,0.4000000263750553,2.017626758610378e-09
0.3,0.4,0.25,0.8126449823379517,0.0007744057455598794,0.7998399853706359,0.000712127631291892,0.4000000248849392,3.268457220583559e-09
0.3,0.4,0.5,0.8067949771881103,0.0014044520040361853,0.797769981622696,0.0013808678934984675,0.40000002500414844,4.47465106853086e-09
0.3,0.4,0.75,0.8071849703788757,0.0010341541285273893,0.7980199754238129,0.0014038005667640755,0.4000000236034393,2.3750620583820438e-09
0.3,0.4,1.0,0.8072549879550934,0.0009886704185855138,0.7983799815177918,0.0013497341839020943,0.4000000258684159,3.382851681767148e-09
0.3,0.7,0.0,0.8186249792575836,0.0007095607056168067,0.7976099848747253,0.002131491387397362,0.700000001013279,2.7822595760039976e-09
0.3,0.7,0.25,0.8202299773693085,0.0010883841522551661,0.79754998087883,0.002099335294147496,0.6999999988079071,5.933914375700476e-09
0.3,0.7,0.5,0.8084249794483185,0.0010881381162237192,0.7982599794864654,0.0012366597054919554,0.7000000015497208,3.143952752443958e-09
0.3,0.7,0.75,0.8074949860572815,0.0008908327134016873,0.797979986667633,0.001600563022708948,0.7,4.195911069200631e-09
0.3,0.7,1.0,0.8072549879550934,0.0009886704185855138,0.7983799815177918,0.0013497341839020943,0.700000001847744,3.503234522392379e-09
0.3,1.0,0.0,0.8210699796676636,0.0011165919144085902,0.7975599765777588,0.0021567364778626295,1.000000019967556,6.650660452276176e-09
0.3,1.0,0.25,0.8218999743461609,0.0008069138587097531,0.7979499757289886,0.001958042417330289,1.0000000171661376,7.790772722474524e-09
0.3,1.0,0.5,0.8193099796772003,0.0006154435527752441,0.7977499783039093,0.0017360535176531018,1.000000017940998,8.294593052409654e-09
0.3,1.0,0.75,0.8080599725246429,0.0009766060302959989,0.7983999848365784,0.0014628771427950564,1.0000000180602073,3.476086035747725e-09
0.3,1.0,1.0,0.8072549879550934,0.0009886704185855138,0.7983799815177918,0.0013497341839020943,1.0000000198483467,7.007877364954835e-09
0.5,-0.7,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.5,-0.7,0.25,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.5,-0.7,0.5,0.7920549869537353,0.003705057798283408,0.7847399771213531,0.0021417541352185994,-0.7000000051259995,3.362368863043206e-09
0.5,-0.7,0.75,0.8000999808311462,0.001229275085618248,0.7915499806404114,0.002283402684647775,-0.7000000013113021,6.269043663594228e-09
0.5,-0.7,1.0,0.8007599890232087,0.0012467295604394598,0.7923999845981597,0.0020955073756592896,-0.7000000035762787,5.846794042615081e-09
0.5,-0.4,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.5,-0.4,0.25,0.003484999923966825,0.001606765113801972,0.003649999911431223,0.00190277574795617,-0.40000002750754354,3.7224414236654585e-09
0.5,-0.4,0.5,0.7958649814128875,0.002550382074444021,0.7884199738502502,0.001919954537914118,-0.40000002655386924,4.585750137403695e-09
0.5,-0.4,0.75,0.8001899778842926,0.00120940914879196,0.7917499840259552,0.00229891558377421,-0.40000002396106715,2.300770181528018e-09
0.5,-0.4,1.0,0.8007599890232087,0.0012467295604394598,0.7923999845981597,0.0020955073756592896,-0.4000000265836715,5.4061993272279316e-09
0.5,-0.2,0.0,0.10239999741315842,0.0,0.09950000047683716,0.0,,
0.5,-0.2,0.25,0.6430099844932556,0.022871359814729927,0.6401399731636047,0.021785377506099973,-0.2000000134855509,1.6083593055723438e-09
